rule,count,total,mean,min,first_quartile,median,third_quartile,max
rare_rewrite_arith-geq-norm1-int,4,32946675,8236668.75,6754300,7090075,7304500,8451093.75,11583375
not_implies1,26,28920500,1112326.923076923,125125,183500,283500,328250,11293375
rare_rewrite_eq-ite-lift,3,23347100,7782366.666666667,6563200,7467600,8372000,8391950,8411900
rare_rewrite_ite-else-false,2,13931000,6965500,6950775,6958137.5,6965500,6972862.5,6980225
la_disequality,95,11293000,118873.68421052632,39700,58000,101000,151000,326300
implies_pos,20,7021750,351087.5,144325,170500,233500,405250,904425
false,407,6907000,16970.51597051597,12000,14000,15000,20000,29000
not_implies2,22,6354525,288842.04545454547,147400,192500,306000,359500,474124.99999999965
rare_rewrite_bool-impl-false2,1,6069000,6069000,6069000,6069000,6069000,6069000,6069000
ite_pos2,13,5809100,446853.8461538461,249600,312000,438000,567000,822499.9999999998
ite_pos1,12,5115450,426287.5,247900,291000,338000,517000,799550
miniscope_ite,1,4352000,4352000,4352000,4352000,4352000,4352000,4352000
ite_neg1,10,3550350,355035,169900,204250,325000,455500,693450.0000000001
ac_simp,3,2631200,877066.6666666666,867250,869625,872000,881975,891950
equiv_neg2,36,1578250,43840.27777777778,29875,33750,36000,47500,75375
equiv_neg1,33,1561200,47309.09090909091,32000,35000,43000,58000,78200
ite_neg2,3,1155650,385216.6666666667,247150,286575,326000,454250,582500
not_ite2,1,766000,766000,766000,766000,766000,766000,766000
